xtb_symbol,xtb_name,yahoo_symbol,name,asset_class,instrument_type,exchange,quote_currency,point_size,price_divisor,enabled
BTCE.DE,Bitwise Physical Bitcoin ETC,BTCE.DE,Bitwise Physical Bitcoin ETC,ETC,REAL,XETRA,EUR,0.0001,1,true
C8PX.DE,Global X AI Semiconductor & Quantum UCITS ETF,C8PX.DE,Global X AI Semiconductor & Quantum UCITS ETF USD Acc,ETF,REAL,XETRA,EUR,0.001,1,true
CA.FR,Carrefour SA,CA.PA,Carrefour SA,STOCK,REAL,Euronext Paris,EUR,0.001,1,true
CBUK.DE,iShares MSCI China Tech UCITS ETF,CBUK.DE,iShares MSCI China Tech UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
CD91.DE,Amundi Gold Miners UCITS ETF,CD91.DE,Amundi Index Solutions - Amundi Gold Miners UCITS ETF USD Distributing,ETF,REAL,XETRA,EUR,0.01,1,true
COPX.UK,Global X Copper Miners UCITS ETF,COPX.L,Global X Copper Miners UCITS ETF USD Acc,ETF,REAL,London Stock Exchange,USD,0.01,1,true
DFNC.DE,iShares Europe Defence UCITS ETF,DFNC.DE,iShares VII PLC - iShares Europe Defence UCITS ETF EUR (Acc),ETF,REAL,XETRA,EUR,0.001,1,true
DRON.DE,Defiance Drone UCITS ETF,DRON.DE,Defiance Drone UCITS ETF Accumulating Share Class USD Acc,ETF,REAL,XETRA,EUR,0.001,1,true
ED3F.DE,Global X Europe Focused Defence Tech UCITS ETF,ED3F.DE,Global X Europe Focused Defence Tech UCITS ETF EUR Accumulating,ETF,REAL,XETRA,EUR,0.001,1,true
EEMU.FR,BNP Paribas Easy MSCI EMU Min TE UCITS ETF,EEMU.PA,BNP Paribas Easy MSCI EMU Min TE UCITS ETF – EUR,ETF,REAL,Euronext Paris,EUR,0.001,1,true
ETLX.DE,L&G Gold Mining UCITS ETF,ETLX.DE,L&G Gold Mining UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
FTGA.DE,First Trust Global Aerospace & Defence UCITS ETF,FTGA.DE,First Trust Indxx Global Aerospace & Defence UCITS ETF Class A USD Acc,ETF,REAL,XETRA,EUR,0.001,1,true
FVSJ.DE,Franklin FTSE Asia ex China ex Japan UCITS ETF,FVSJ.DE,Franklin FTSE Asia ex China ex Japan UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
H4ZP.DE,HSBC MSCI China UCITS ETF,H4ZP.DE,HSBC MSCI China UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
IBCJ.DE,iShares MSCI Poland UCITS ETF,IBCJ.DE,iShares V PLC - iShares MSCI Poland UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
ICNT.DE,Invesco MSCI China Technology UCITS ETF,ICNT.DE,Invesco MSCI China Technology All Shares Stock Connect UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
IS0E.DE,iShares Gold Producers UCITS ETF,IS0E.DE,iShares Gold Producers UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.001,1,true
ISAE.NL,iShares Agribusiness UCITS ETF,ISAE.AS,iShares V PLC - iShares Agribusiness UCITS ETF USD (Acc),ETF,REAL,Euronext Amsterdam,EUR,0.01,1,true
JMLP.DE,Alerian Midstream Energy Dividend UCITS ETF,JMLP.DE,Alerian Midstream Energy Dividend UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
LHTC.DE,Amundi STOXX Europe 600 Healthcare UCITS ETF,LHTC.DE,Lyxor Index Fund - Lyxor Stoxx Europe 600 Healthcare UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
LI7U.DE,Global X Lithium & Battery Tech UCITS ETF,LI7U.DE,Global X Lithium & Battery Tech UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
NESTE.FI,Neste Oyj,NESTE.HE,Neste Oyj,STOCK,REAL,Nasdaq Helsinki,EUR,0.01,1,true
OOEA.DE,WisdomTree Brent Crude Oil ETC,BRNT.L,WisdomTree Brent Crude Oil,ETC,REAL,XETRA,USD,0.001,1,false
S5SD.DE,UBS S&P 500 Scored & Screened UCITS ETF,S5SD.DE,UBS S&P 500 Scored & Screened UCITS ETF USD dis,ETF,REAL,XETRA,EUR,0.001,1,true
SPYN.DE,SPDR MSCI Europe Energy UCITS ETF,SPYN.DE,State Street SPDR MSCI Europe Energy UCITS ETF,ETF,REAL,XETRA,EUR,0.1,1,true
SXR2.DE,iShares MSCI Canada UCITS ETF,SXR2.DE,iShares VII PLC - iShares MSCI Canada ETF USD Acc,ETF,REAL,XETRA,EUR,0.1,1,true
V.US,Visa Inc.,V,Visa Inc.,STOCK,REAL,NYSE,USD,0.01,1,true
V9N.DE,Global X Data Center REITs & Digital Infrastructure UCITS ETF,V9N.DE,Global X Data Center REITS & Digital Infrastructure UCITS ETF USD Acc,ETF,REAL,XETRA,EUR,0.001,1,true
WTEH.DE,WisdomTree Enhanced Commodity UCITS ETF,WTEH.DE,WisdomTree Enhanced Commodity UCITS ETF - EUR Hedged Acc,ETF,REAL,XETRA,EUR,0.001,1,true
SX7PEX.DE,"iShares STOXX ope 600 Banks UCITS DE (Dist, EUR)",EXV1.DE,iShares STOXX Europe 600 Banks UCITS ETF (DE),ETF,REAL,XETRA,EUR,0.01,1,true
SXEPEX.DE,iShares STOXX Europe 600 Oil & Gas UCITS ETF DE (Dist EUR),EXH1.DE,iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),ETF,REAL,XETRA,EUR,0.01,1,true
SX6PEX.DE,iShares STOXX Europe 600 Utilities UCITS ETF DE (Dist EUR),EXH9.DE,iShares STOXX Europe 600 Utilities UCITS ETF (DE),ETF,REAL,XETRA,EUR,0.01,1,true
QDVI.DE,iShares Edge MSCI USA Value Factor UCITS ETF (Acc EUR),QDVI.DE,iShares Edge MSCI USA Value Factor UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.001,1,true
QDVF.DE,iShares S&P 500 Energy Sector UCITS (Acc EUR),QDVF.DE,iShares S&P 500 Energy Sector UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.001,1,true
SXRS.DE,"iShares Diversified Commodity Swap UCITS ETF USD A (Acc, EUR)",SXRS.DE,iShares Diversified Commodity Swap UCITS ETF,ETF,REAL,XETRA,EUR,0.001,1,true
SXRY.DE,"iShares FTSE MIB UCITS ETF (Acc, EUR)",SXRY.DE,iShares VII PLC - iShares FTSE MIB ETF EUR Acc,ETF,REAL,XETRA,EUR,0.1,1,true
CEMS.DE,iShares Edge MSCI Europe Value Factor UCITS ETF (Acc EUR),CEMS.DE,iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc),ETF,REAL,XETRA,EUR,0.001,1,true
ZPRU.DE,"SPDR MSCI USA Value UCITS (Acc, EUR)",ZPRU.DE,State Street SPDR MSCI USA Value UCITS ETF USD Acc,ETF,REAL,XETRA,EUR,0.01,1,true
ZPRV.DE,"SPDR MSCI USA Small Cap Value Weighted UCITS (Acc, EUR)",ZPRV.DE,State Street SPDR MSCI USA Small Cap Value Weighted UCITS ETF USD Acc,ETF,REAL,XETRA,EUR,0.01,1,true
STZ.FR,SPDR MSCI Europe Financials UCITS ETF (Acc EUR),STZ.PA,State Street SPDR MSCI Europe Financials UCITS ETF,ETF,REAL,Euronext Paris,EUR,0.01,1,true
BNK.FR,Amundi Stoxx European 600 Banks ETF (Acc EUR),BNK.PA,Multi Units Luxembourg - Amundi STOXX Europe 600 Banks UCITS ETF Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
PANX.FR,"Amundi PEA Nasdaq 100 UCITS C/D (Acc, EUR)",PANX.PA,Amundi PEA US Tech Screened UCITS ETF - Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
C50.FR,Amundi Euro Stoxx 50 UCITS ETF (Acc EUR),C50.PA,Amundi Core EURO STOXX 50 UCITS ETF EUR Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
XB4A.DE,"Xtrackers ATX UCITS ETF 1C (Acc, EUR)",XB4A.DE,Xtrackers ATX UCITS ETF 1C,ETF,REAL,XETRA,EUR,0.01,1,true
XESP.DE,"Xtrackers Spain UCITS ETF (Acc, EUR)",XESP.DE,Xtrackers Spain UCITS ETF 1C,ETF,REAL,XETRA,EUR,0.01,1,true
FLXK.DE,"Franklin FTSE Korea UCITS (Acc, EUR)",FLXK.DE,Franklin FTSE Korea UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
VVSM.DE,"VanEck Vectors Semiconductor UCITS (Acc, EUR)",VVSM.DE,VanEck Semiconductor UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
4UBI.DE,"UBS(Irl)ETFplc MSCI USA Soc Rsp UCITS (Acc, EUR)",4UBI.DE,UBS MSCI USA Socially Responsible UCITS ETF USD acc,ETF,REAL,XETRA,EUR,0.01,1,true
4UBQ.DE,"UBS (Irl) plc S&P 500 ESG UCITS (Acc, EUR)",4UBQ.DE,UBS S&P 500 Scored & Screened UCITS ETF USD acc,ETF,REAL,XETRA,EUR,0.01,1,true
6AQQ.DE,"Amundi NASDAQ-100 UCITS (Acc, EUR)",6AQQ.DE,Amundi Index Solutions - Amundi Nasdaq-100 Swap ETF EUR Acc,ETF,REAL,XETRA,EUR,0.01,1,true
6PSA.DE,"Invesco FTSE RAFI US 1000 UCITS (Dist, EUR)",6PSA.DE,Invesco RAFI US Fundamental Value UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
6TVM.DE,"Lyxor S&P 500 UCITS (Dist, EUR)",6TVM.DE,Amundi Core S&P 500 Swap UCITS ETF USD Dist,ETF,REAL,XETRA,EUR,0.01,1,true
AJI.DE,Ajinomoto Co Inc,AJI.F,"Ajinomoto Co., Inc.",STOCK,REAL,XETRA,EUR,0.01,1,true
ARGX.BE,Argenx SE,ARGX.BR,argenx SE,STOCK,REAL,Euronext Brussels,EUR,0.01,1,true
ASI1.DE,Asics Corp,ASI1.F,ASICS Corporation,STOCK,REAL,XETRA,EUR,0.01,1,true
BNKE.FR,Amundi Euro Stoxx Banks UCITS ETF (Acc EUR),BNKE.PA,Amundi Euro Stoxx Banks UCITS ETF Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
C7A0.DE,Contemporary Amperex Technology Co Ltd,300750.SZ,"Contemporary Amperex Technology Co., Limited",STOCK,REAL,XETRA,CNY,0.01,1,true
CBRS.DE,First Trust Nasdaq Cybersecurity UCITS (Acc EUR),CBRS.DE,First Trust Nasdaq Cybersecurity UCITS ETF Class A USD Accumulation,ETF,REAL,XETRA,EUR,0.01,1,true
D500.DE,"Invesco S&P 500 UCITS (Dist, EUR)",D500.DE,Invesco S&P 500 UCITS ETF (Dist),ETF,REAL,XETRA,EUR,0.01,1,true
D5BH.DE,"Xtrackers MSCI Canada ESG Screened UCITS (Acc, EUR)",D5BH.DE,Xtrackers MSCI Canada Screened UCITS ETF 1C,ETF,REAL,XETRA,EUR,0.01,1,true
D5BM.DE,"Xtrackers S&P 500 Swap UCITS (Acc, EUR)",D5BM.DE,Xtrackers S&P 500 Swap UCITS ETF 1C,ETF,REAL,XETRA,EUR,0.01,1,true
EQQB.DE,"Invesco EQQQ NASDAQ-100 UCITS (Acc, EUR)",EQQB.DE,Invesco EQQQ NASDAQ-100 UCITS ETF Acc,ETF,REAL,XETRA,EUR,0.01,1,true
ETDD.FR,Bnp Paribas Easy Euro Stoxx 50 UCITS ETF (Acc EUR),ETDD.PA,BNP Paribas Easy Euro Stoxx 50 UCITS ETF EUR C,ETF,REAL,Euronext Paris,EUR,0.01,1,true
EUN2.DE,iShares EURO STOXX 50 UCITS ETF (Dist EUR),EUN2.DE,iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),ETF,REAL,XETRA,EUR,0.01,1,true
F500.DE,"Amundi S&P 500 ESG UCITS (Acc, EUR)",F500.DE,Amundi S&P 500 Screened UCITS ETF - Acc,ETF,REAL,XETRA,EUR,0.01,1,true
FUSA.DE,"Fidelity US Quality Income UCITS (Acc, EUR)",FUSA.DE,Fidelity US Quality Income UCITS ETF Acc,ETF,REAL,XETRA,EUR,0.01,1,true
FUSD.DE,Fidelity US Quality Income UCITS (Dist EUR),FUSD.DE,Fidelity US Quality Income UCITS ETF Inc,ETF,REAL,XETRA,EUR,0.01,1,true
FUSR.DE,"Fidelity Sust Research Enh US Eq UCITS (Acc, EUR)",FUSR.DE,Fidelity US Equity Research Enhanced UCITS ETF USD Acc,ETF,REAL,XETRA,EUR,0.01,1,true
H412.DE,"HSBC USA Sustainable Equity UCITS (Acc, EUR)",H412.DE,HSBC USA Screened Equity UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
HIA1.DE,Hitachi Ltd,HIA1.F,"Hitachi, Ltd.",STOCK,REAL,XETRA,EUR,0.01,1,true
I500.DE,iShares S&P 500 Swap UCITS (Acc EUR),I500.DE,iShares S&P 500 Swap UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
IEVL.UK,iShares Edge MSCI Europe Value Factor UCITS ETF (Acc EUR),IEVL.L,iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc),ETF,REAL,London Stock Exchange,EUR,0.01,1,true
IQQD.DE,"iShares UK Dividend UCITS (Dist, EUR)",IQQD.DE,iShares UK Dividend UCITS ETF GBP (Dist),ETF,REAL,XETRA,EUR,0.01,1,true
IUSA.DE,iShares S&P 500 UCITS ETF (Dist EUR),IUSA.DE,iShares Core S&P 500 UCITS ETF USD Dist,ETF,REAL,XETRA,EUR,0.01,1,true
LLY.DE,Eli Lilly and Co,LLY.DE,Eli Lilly and Company,STOCK,REAL,XETRA,EUR,0.01,1,true
LOTB.BE,Lotus Bakeries NV,LOTB.BR,Lotus Bakeries NV,STOCK,REAL,Euronext Brussels,EUR,0.01,1,true
LYXIB.ES,Amundi IBEX35 UCITS ETF (Dist EUR),LYXIB.MC,Amundi IBEX 35 UCITS ETF,ETF,REAL,BME Madrid,EUR,0.01,1,true
MIE1.DE,Mitsubishi Electric Corp,MIE1.F,Mitsubishi Electric Corporation,STOCK,REAL,XETRA,EUR,0.01,1,true
MIH.DE,Mitsubishi Heavy Industries Ltd,MIH.F,"Mitsubishi Heavy Industries, Ltd.",STOCK,REAL,XETRA,EUR,0.01,1,true
MSE.FR,Amundi Euro Stoxx 50 UCITS ETF (Dist EUR),MSE.PA,Amundi EURO STOXX 50 II UCITS ETF Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
MUR1.DE,Murata Manufacturing Co Ltd,MUR1.F,"Murata Manufacturing Co., Ltd.",STOCK,REAL,XETRA,EUR,0.01,1,true
NADQ.DE,"Lyxor Nasdaq-100 UCITS ETF - Acc (Dist, EUR)",NADQ.DE,Amundi Core Nasdaq-100 Swap UCITS ETF Dist,ETF,REAL,XETRA,EUR,0.01,1,true
NDXEX.DE,"iShares NASDAQ-100® UCITS DE (Dist, EUR)",NDX1.DE,Nordex SE,STOCK,REAL,XETRA,EUR,0.01,1,true
P500.DE,Invesco S&P 500 UCITS (Acc EUR),P500.DE,Invesco S&P 500 UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
PE500.FR,"Amundi PEA S&P 500 UCITS C/D (Acc, EUR)",PE500.PA,Amundi PEA S&P 500 Screened UCITS ETF - Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
QDVA.DE,"iShares Edge MSCI USA Mmntm Fctr UCITS (Acc, EUR)",QDVA.DE,iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
QDVB.DE,"iShares Edge MSCI USA Qual Fctr UCITS (Acc, EUR)",QDVB.DE,iShares Edge MSCI USA Quality Factor UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
QDVD.DE,"iShares MSCI USA Quality Div ESG UCITS (Dist, EUR)",QDVD.DE,iShares MSCI USA Quality Dividend Advanced UCITS ETF USD (Dist),ETF,REAL,XETRA,EUR,0.01,1,true
QDVE.DE,iShares S&P 500 Information Technology Sector UCITS ETF (Acc EUR),QDVE.DE,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
SAABB.SE,Saab AB - class B,SAAB-B.ST,Saab AB (publ),STOCK,REAL,Nasdaq Stockholm,SEK,0.01,1,true
SALM.NO,Salmar ASA,SALM.OL,SalMar ASA,STOCK,REAL,Oslo Børs,NOK,0.01,1,true
SGAS.DE,"iShares MSCI USA ESG Screened UCITS (Acc, EUR)",SGAS.DE,iShares MSCI USA Screened UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
SMSEUR.DE,"Invesco MSCI ope UCITS (Acc, EUR)",SMSE.L,Leverage Shares -1x Microsoft ETP Securities,STOCK,REAL,XETRA,EUR,0.001,1,true
SPPY.DE,"SPDR S&P 500 ESG Leaders UCITS (Acc, EUR)",SPPY.DE,State Street SPDR S&P 500 Leaders UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
SPY5.DE,"SPDR S&P 500 UCITS ETF (Dist, EUR)",SPY5.DE,State Street SPDR S&P 500 UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
SPYF.DE,"SPDR FTSE UK All Share UCITS (Acc, EUR)",SPYF.DE,State Street SPDR FTSE UK All Share UCITS ETF Acc,ETF,REAL,XETRA,EUR,0.01,1,true
SX5EEX.DE,iShares EURO STOXX 50 UCITS ETF DE (Dist EUR),EXXY.DE,iShares Diversified Commodity Swap UCITS ETF (DE),ETF,REAL,XETRA,EUR,0.01,1,true
SXR8.DE,iShares Core S&P 500 UCITS ETF (Acc EUR),SXR8.DE,iShares Core S&P 500 UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
SXRT.DE,iShares Core EURO STOXX 50 UCITS ETF (Acc EUR),SXRT.DE,iShares VII PLC - iShares Core EURO STOXX 50 ETF EUR Acc,ETF,REAL,XETRA,EUR,0.01,1,true
SXRV.DE,iShares NASDAQ 100 UCITS ETF (Acc EUR),SXRV.DE,iShares NASDAQ 100 UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
UBU9.DE,"UBS (Irl) plc S&P 500 UCITS (Dist, EUR)",UBU9.DE,UBS Core S&P 500 UCITS ETF USD dis,ETF,REAL,XETRA,EUR,0.01,1,true
UBUT.DE,"UBS(Irl)ETFplc Factor MSCI USA Quality UETF (Dist, EUR)",UBUT.DE,UBS Factor MSCI USA Quality Screened UCITS ETF USD dis,ETF,REAL,XETRA,EUR,0.01,1,true
VAN.DE,Advantest Corp,VAN.F,Advantest Corporation,STOCK,REAL,XETRA,EUR,0.01,1,true
VUAA.DE,"Vanguard S&P 500 UCITS ETF USD (Acc, EUR)",VUAA.DE,Vanguard S&P 500 UCITS ETF USD Accumulation,ETF,REAL,XETRA,EUR,0.01,1,true
VUSA.DE,"Vanguard S&P 500 UCITS ETF USD (Dist, EUR)",VUSA.DE,Vanguard S&P 500 UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
VX1.DE,Vertex Pharmaceuticals Inc,VX1.DE,Vertex Pharmaceuticals Incorporated,STOCK,REAL,XETRA,EUR,0.01,1,true
WTD9.DE,"WisdomTree US Equity Income UCITS ETF (Acc, EUR)",WTD9.DE,WisdomTree US High Dividend UCITS ETF - Acc,ETF,REAL,XETRA,EUR,0.01,1,true
WTDM.DE,"WisdomTree US Quality Div Growth UCITS (Acc, EUR)",WTDM.DE,WisdomTree US Quality Dividend Growth UCITS ETF - USD Acc,ETF,REAL,XETRA,EUR,0.01,1,true
XESD.DE,"Xtrackers Spain UCITS (Dist, EUR)",XESD.DE,Xtrackers Spain UCITS ETF 1D,ETF,REAL,XETRA,EUR,0.01,1,true
XMIB.DE,"Xtrackers FTSE MIB UCITS 1D (Dist, EUR)",XMIB.MI,Xtrackers FTSE MIB UCITS ETF 1D,ETF,REAL,XETRA,EUR,0.01,1,true
XNAS.DE,Xtrackers NASDAQ 100 UCITS (Acc EUR),XNAS.DE,Xtrackers NASDAQ 100 UCITS ETF 1C,ETF,REAL,XETRA,EUR,0.01,1,true
XUEN.DE,"Xtrackers MSCI USA Energy UCITS (Dist, EUR)",XUEN.DE,Xtrackers MSCI USA Energy UCITS ETF 1D,ETF,REAL,XETRA,EUR,0.01,1,true
XUTC.DE,"Xtrackers MSCI USA Information Tech UCITS 1D (Dist, EUR)",XUTC.DE,Xtrackers MSCI USA Information Technology UCITS ETF 1D,ETF,REAL,XETRA,EUR,0.01,1,true
ZPDE.DE,"SPDR S&P US Energy Select Sector UCITS (Acc, EUR)",ZPDE.DE,State Street SPDR S&P U.S. Energy Select Sector UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
ZPDI.DE,"SPDR S&P US Industrial Select Sector UCITS (Acc, EUR)",ZPDI.DE,State Street SPDR S&P U.S. Industrials Select Sector UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
ZPDT.DE,"SPDR S&P US Technology Select Sector UCITS (Acc, EUR)",ZPDT.DE,State Street SPDR S&P U.S. Technology Select Sector UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
